,log2FC,t,B,PValue,FDR,,,NKG7
MMP251,1.247682279,7.992282543,19.4324764,3.79E-13,2.39E-10,,,UBE2L61
UBE2L61,1.004328198,7.966046409,19.29070846,4.40E-13,2.68E-10,,,IL18BP2
IL18BP2,1.154029675,7.852034603,18.67667755,8.34E-13,4.79E-10,,,CXCR62
CXCR62,1.389087275,7.781594014,18.2990056,1.24E-12,6.89E-10,,,TNIP31
TNIP31,1.321186708,7.774960333,18.26350709,1.28E-12,6.95E-10,,,EPSTI11
EPSTI11,1.095018064,7.593745821,17.29848096,3.50E-12,1.80E-09,,,GZMA2
GZMA2,1.454729906,7.491053737,16.75577705,6.17E-12,3.09E-09,,,HAPLN32
HAPLN32,1.256815705,7.417896326,16.37107186,9.21E-12,4.49E-09,,,GNLY2
GNLY2,1.634467357,7.27267211,15.61229063,2.03E-11,9.44E-09,,,SAMD9L1
SAMD9L1,1.273849471,7.245818129,15.47271405,2.35E-11,1.04E-08,,,JAK21
JAK21,1.194087458,7.145729449,14.95456664,4.03E-11,1.71E-08,,,IL2RB2
IL2RB2,1.224365485,7.071434407,14.57211139,6.01E-11,2.44E-08,,,HK31
HK31,1.386389275,7.066665445,14.54762588,6.17E-11,2.46E-08,,,CTLA41
CTLA41,1.374227916,7.056149938,14.49366319,6.53E-11,2.55E-08,,,ETV72
ETV72,1.250681422,7.046841201,14.44592506,6.86E-11,2.62E-08,,,ICAM11
ICAM11,1.232060914,7.030539897,14.36239894,7.48E-11,2.81E-08,,,CRTAM2
CRTAM2,1.488662137,6.974062576,14.07373114,1.01E-10,3.66E-08,,,JAKMIP12
JAKMIP12,1.296899183,6.919014664,13.79345272,1.36E-10,4.72E-08,,,ZBED22
ZBED22,1.549077916,6.913148449,13.7636485,1.40E-10,4.73E-08,,,UBD2
UBD2,2.033053178,6.872019419,13.55503475,1.74E-10,5.65E-08,,,APOBEC3G2
APOBEC3G2,1.064196311,6.868947655,13.53947883,1.77E-10,5.65E-08,,,ZNF6832
ZNF6832,1.831094649,6.864260018,13.51574651,1.81E-10,5.70E-08,,,IL18RAP1
IL18RAP1,1.250888533,6.835503533,13.37033559,2.11E-10,6.53E-08,,,PDCD1LG21
PDCD1LG21,1.222057929,6.789884456,13.14028225,2.68E-10,8.17E-08,,,IL12RB11
IL12RB11,1.118366379,6.774533961,13.06304502,2.91E-10,8.72E-08,,,PSMB91
PSMB91,1.115449546,6.751315866,12.94638929,3.28E-10,9.70E-08,,,CD801
CD801,1.238794588,6.745502365,12.91721204,3.38E-10,9.86E-08,,,HAVCR21
HAVCR21,1.058074584,6.736332334,12.87121476,3.55E-10,1.02E-07,,,IFIT31
IFIT31,1.142698484,6.709993105,12.73927358,4.07E-10,1.12E-07,,,TNFSF13B1
TNFSF13B1,1.101123418,6.705803947,12.71831318,4.16E-10,1.13E-07,,,TBX212
TBX212,1.20286855,6.683873731,12.60869538,4.67E-10,1.22E-07,,,AIM22
AIM22,1.830980028,6.680109471,12.58989838,4.76E-10,1.22E-07,,,OR2I1P2
OR2I1P2,1.890561403,6.650963406,12.44454138,5.54E-10,1.39E-07,,,IL2RA1
IL2RA1,1.224346307,6.64654804,12.42254982,5.67E-10,1.40E-07,,,CCL41
CCL41,1.189904407,6.623116724,12.30597293,6.41E-10,1.54E-07,,,SLA22
SLA22,1.155634918,6.616906187,12.27510989,6.62E-10,1.58E-07,,,ICOS1
ICOS1,1.313999775,6.57792422,12.08173707,8.10E-10,1.90E-07,,,ADGRE2
ADGRE2,1.158856895,6.559392051,11.99001796,8.91E-10,2.07E-07,,,IL21R2
IL21R2,1.289808882,6.541701465,11.90259177,9.77E-10,2.24E-07,,,OAS21
OAS21,1.117404193,6.535273492,11.87085601,1.01E-09,2.27E-07,,,KIR2DL42
KIR2DL42,1.61807089,6.479715783,11.59725487,1.34E-09,2.88E-07,,,MICB1
MICB1,1.020740865,6.477180933,11.58480155,1.36E-09,2.89E-07,,,GZMH2
GZMH2,1.359316952,6.461762396,11.50910928,1.47E-09,3.09E-07,,,KLRC4-KLRK12
KLRC4-KLRK12,1.939541887,6.440931266,11.40700049,1.64E-09,3.40E-07,,,CD8A2
CD8A2,1.246474228,6.430685648,11.3568447,1.73E-09,3.55E-07,,,XAF11
XAF11,1.014359768,6.412349621,11.26719202,1.90E-09,3.86E-07,,,TTC242
TTC242,1.648948037,6.399481786,11.20435905,2.03E-09,4.08E-07,,,PDCD12
PDCD12,1.234875667,6.3452594,10.9403553,2.67E-09,5.21E-07,,,TYMP1
TYMP1,1.066814253,6.319774989,10.8167028,3.04E-09,5.88E-07,,,PLAAT42
PLAAT42,1.37845778,6.310555777,10.77203848,3.19E-09,6.07E-07,,,NKG72
NKG72,1.249701203,6.306695016,10.75334503,3.25E-09,6.07E-07,,,KLHDC7B2
KLHDC7B2,1.431617586,6.279566848,10.62217307,3.73E-09,6.80E-07,,,TRIM222
TRIM222,1.051673589,6.262785451,10.5411891,4.06E-09,7.20E-07,,,MEFV1
MEFV1,1.244781404,6.245028835,10.45563159,4.44E-09,7.55E-07,,,TIGIT2
TIGIT2,1.148488436,6.229200379,10.37948016,4.81E-09,8.05E-07,,,SLAMF81
SLAMF81,1.164846883,6.228271375,10.37501407,4.83E-09,8.05E-07,,,FCGR3A1
FCGR3A1,1.29219956,6.212408065,10.29881117,5.23E-09,8.65E-07,,,KLRC32
KLRC32,2.400298575,6.207775166,10.27657682,5.35E-09,8.78E-07,,,CD2442
CD2442,1.212539359,6.199823638,10.23843758,5.57E-09,9.06E-07,,,CCR11
CCR11,1.039515211,6.181400935,10.15018069,6.11E-09,9.77E-07,,,GFI11
GFI11,1.029790355,6.153759007,10.01803937,7.02E-09,1.10E-06,,,CD962
CD962,1.078562241,6.104574782,9.783758879,8.97E-09,1.37E-06,,,KCNJ101
KCNJ101,1.614190283,6.067313815,9.60699855,1.08E-08,1.54E-06,,,ADAMDEC11
ADAMDEC11,1.490065311,6.06723259,9.606613917,1.08E-08,1.54E-06,,,CD2261
CD2261,1.064398153,6.062480515,9.584116319,1.11E-08,1.56E-06,,,TNFRSF91
TNFRSF91,1.083039283,6.040811183,9.481658629,1.23E-08,1.73E-06,,,LAMP31
LAMP31,1.107449021,6.039659799,9.476220629,1.24E-08,1.73E-06,,,PLEK1
PLEK1,1.132810969,6.037473556,9.46589665,1.25E-08,1.73E-06,,,CIITA2
CIITA2,1.286676422,6.019851179,9.382759671,1.37E-08,1.88E-06,,,CD73
CD73,1.02881024,5.969335874,9.145239648,1.75E-08,2.28E-06,,,TLR81
TLR81,1.513573708,5.966562123,9.132232007,1.78E-08,2.29E-06,,,CCL52
CCL52,1.200807644,5.944754805,9.030090993,1.98E-08,2.51E-06,,,SLAMF71
SLAMF71,1.382127942,5.919434643,8.911776993,2.24E-08,2.80E-06,,,PMAIP1
PMAIP1,1.089413671,5.884709393,8.75000908,2.65E-08,3.26E-06,,,CCR52
CCR52,1.139580558,5.881110616,8.733276952,2.70E-08,3.28E-06,,,CLEC12A1
CLEC12A1,1.327486207,5.879208027,8.724433569,2.72E-08,3.28E-06,,,SIRPG2
SIRPG2,1.195896056,5.863748706,8.652641594,2.94E-08,3.52E-06,,,ITGB71
ITGB71,1.118448275,5.858004379,8.625994535,3.02E-08,3.57E-06,,,FCGR1A1
FCGR1A1,1.140565293,5.828695495,8.490282216,3.48E-08,3.95E-06,,,MMP121
MMP121,2.28583467,5.791527811,8.318778302,4.17E-08,4.57E-06,,,GPR1712
GPR1712,1.107364214,5.79051451,8.314112014,4.19E-08,4.57E-06,,,CD22
CD22,1.026550708,5.71388032,7.962670185,6.06E-08,6.19E-06,,,CD300LF1
CD300LF1,1.087757802,5.687731498,7.843418252,6.87E-08,6.80E-06,,,PLA2G71
PLA2G71,1.191075665,5.678244139,7.800235564,7.18E-08,7.05E-06,,,KIR3DL22
KIR3DL22,1.909822869,5.666761055,7.748029538,7.59E-08,7.41E-06,,,BST21
BST21,1.00131392,5.663020443,7.731037749,7.73E-08,7.47E-06,,,KLRC42
KLRC42,2.118273939,5.644147487,7.64541462,8.45E-08,8.05E-06,,,CCL31
CCL31,1.25378065,5.640564773,7.629180826,8.60E-08,8.15E-06,,,SH2D1A2
SH2D1A2,1.162240373,5.626026886,7.563374288,9.21E-08,8.56E-06,,,CYBB1
CYBB1,1.017208465,5.593046447,7.414485096,1.08E-07,9.73E-06,,,APOBEC3H2
APOBEC3H2,1.07883565,5.5568138,7.251555908,1.28E-07,1.12E-05,,,TFEC1
TFEC1,1.072877035,5.539076998,7.172044649,1.39E-07,1.20E-05,,,SMTNL11
SMTNL11,1.155206169,5.525536162,7.111452976,1.48E-07,1.27E-05,,,ZBP11
ZBP11,1.064687445,5.48369144,6.924812762,1.80E-07,1.50E-05,,,NCR12
NCR12,1.160049125,5.470151655,6.86461763,1.92E-07,1.58E-05,,,ACOD11
ACOD11,2.206340454,5.452462913,6.786122598,2.09E-07,1.68E-05,,,CALHM61
CALHM61,1.230283978,5.448743882,6.769640166,2.12E-07,1.70E-05,,,FCGR1B1
FCGR1B1,1.095627273,5.427252525,6.674535858,2.35E-07,1.85E-05,,,LILRB21
LILRB21,1.021645068,5.422763467,6.654701697,2.40E-07,1.88E-05,,,ITK2
ITK2,1.087143209,5.350637995,6.337505758,3.35E-07,2.40E-05,,,THEMIS2
THEMIS2,1.129139698,5.339681393,6.289565607,3.52E-07,2.49E-05,,,CD3G2
CD3G2,1.010503824,5.309985917,6.159962186,4.04E-07,2.84E-05,,,IFNL11
IFNL11,2.347158521,5.285124392,6.05182635,4.52E-07,3.09E-05,,,HLA-DMB1
HLA-DMB1,1.009012097,5.217743261,5.760462167,6.15E-07,3.85E-05,,,POLQ
POLQ,1.066155264,5.193284578,5.6553238,6.87E-07,4.18E-05,,,HLA-DQA12
HLA-DQA12,1.220843975,5.168353843,5.548501201,7.69E-07,4.59E-05,,,C1QB1
C1QB1,1.084507334,5.161720508,5.520137741,7.93E-07,4.64E-05,,,IL211
IL211,2.555595936,5.145691072,5.451700045,8.52E-07,4.86E-05,,,C1QA1
C1QA1,1.010946386,5.133196563,5.398455561,9.01E-07,5.08E-05,,,CARD171
CARD171,1.604577553,5.119322566,5.339436317,9.59E-07,5.38E-05,,,LHX21
LHX21,1.44635324,5.115676285,5.323943399,9.75E-07,5.45E-05,,,FCRL62
FCRL62,1.295730786,5.098184459,5.249726688,1.05E-06,5.78E-05,,,KLRC12
KLRC12,1.032445058,5.079079006,5.168863386,1.15E-06,6.04E-05,,,SIGLEC101
SIGLEC101,1.014946091,5.079053004,5.168753479,1.15E-06,6.04E-05,,,ITGAL2
ITGAL2,1.033916777,5.078195158,5.165127591,1.15E-06,6.05E-05,,,IL4I11
IL4I11,1.000064604,5.048838554,5.041300229,1.31E-06,6.68E-05,,,XCL22
XCL22,1.15866374,5.019599044,4.918461773,1.50E-06,7.40E-05,,,KIR2DL32
KIR2DL32,1.635444757,5.008943872,4.873821609,1.57E-06,7.64E-05,,,CD381
CD381,1.324474465,5.007493315,4.86774957,1.58E-06,7.67E-05,,,GPR1742
GPR1742,1.345682245,4.993220072,4.808067163,1.68E-06,8.07E-05,,,PYHIN12
PYHIN12,1.020153385,4.991056489,4.799030702,1.70E-06,8.12E-05,,,CHIT11
CHIT11,1.962638987,4.96689282,4.698294588,1.89E-06,8.86E-05,,,SIRPB11
SIRPB11,1.12872866,4.957811794,4.660525263,1.97E-06,9.12E-05,,,GAD11
GAD11,1.728846828,4.951744127,4.635316002,2.02E-06,9.30E-05,,,LILRB41
LILRB41,1.047476778,4.940792071,4.5898686,2.12E-06,9.68E-05,,,CCL81
CCL81,1.292005108,4.911640548,4.469245329,2.41E-06,0.000106302,,,VSNL12
VSNL12,1.803055449,4.904122991,4.43822098,2.49E-06,0.000109111,,,RUFY41
RUFY41,1.338658542,4.879035526,4.33493086,2.78E-06,0.000118268,,,E2F7
E2F7,1.021893762,4.843745704,4.190273642,3.23E-06,0.000131783,,,CLEC6A1
CLEC6A1,2.020971422,4.832876613,4.145870895,3.39E-06,0.00013617,,,OASL1
OASL1,1.089597259,4.790943777,3.975235769,4.06E-06,0.000156102,,,CX3CL12
CX3CL12,1.196017665,4.788589853,3.965688736,4.10E-06,0.000157072,,,HLA-DOA2
HLA-DOA2,1.268703472,4.781920718,3.938658441,4.22E-06,0.000160381,,,BIRC31
BIRC31,1.008264065,4.775057181,3.910868575,4.35E-06,0.000163903,,,SLC4A111
SLC4A111,1.280072013,4.774491271,3.908578536,4.36E-06,0.000163985,,,AOAH1
AOAH1,1.032019185,4.773787687,3.905731654,4.37E-06,0.000164164,,,CCDC1942
CCDC1942,1.567808872,4.765784124,3.873368498,4.53E-06,0.000168923,,,CYSLTR21
CYSLTR21,1.029255424,4.751466742,3.815572693,4.81E-06,0.000177902,,,KLRC22
KLRC22,1.598735719,4.713136842,3.661464676,5.67E-06,0.00020113,,,CLEC4E1
CLEC4E1,1.149956297,4.654364731,3.426935023,7.27E-06,0.000240112,,,GPR252
GPR252,1.289363207,4.651317278,3.414832921,7.36E-06,0.00024199,,,HTRA41
HTRA41,1.158518485,4.625099105,3.310955413,8.22E-06,0.000262284,,,HLA-DPA11
HLA-DPA11,1.075909955,4.622645251,3.301255243,8.31E-06,0.000263096,,,FUT71
FUT71,1.049575818,4.531804231,2.944840866,1.21E-05,0.00034691,,,SIGLEC12
SIGLEC12,1.038798106,4.490806065,2.785710668,1.44E-05,0.000389841,,,EOMES2
EOMES2,1.046615247,4.489517219,2.780725692,1.45E-05,0.000390831,,,MYEOV1
MYEOV1,1.164897337,4.488290351,2.775981431,1.45E-05,0.000392268,,,FPR21
FPR21,1.166199096,4.487518762,2.772998221,1.46E-05,0.000392431,,,RAD51AP22
RAD51AP22,1.625073489,4.482554758,2.753814968,1.49E-05,0.000397789,,,DTHD12
DTHD12,1.148932706,4.47574134,2.727510658,1.53E-05,0.000406963,,,TRAT12
TRAT12,1.066231841,4.446698539,2.615723744,1.72E-05,0.000445707,,,IL271
IL271,1.39002989,4.445032609,2.609328132,1.74E-05,0.000447966,,,IFNL31
IFNL31,2.456757071,4.43281688,2.56248642,1.82E-05,0.000463622,,,SUCNR11
SUCNR11,1.18851005,4.343664656,2.223591224,2.62E-05,0.000599355,,,CLEC4D1
CLEC4D1,1.295141657,4.343041013,2.221239034,2.63E-05,0.000599355,,,IFNL22
IFNL22,2.221440017,4.291987018,2.029556684,3.22E-05,0.000693388,,,MMP9
MMP9,1.127327886,4.282353941,1.993584481,3.35E-05,0.000710001,,,AQP9
AQP9,1.130865104,4.247706466,1.864717752,3.84E-05,0.000784645,,,CCR81
CCR81,1.121701873,4.246072587,1.858660714,3.87E-05,0.000788097,,,XIRP11
XIRP11,1.299093365,4.218979021,1.758483813,4.31E-05,0.000854958,,,CCL181
CCL181,1.413452354,4.204360591,1.704639628,4.56E-05,0.000893864,,,CHI3L1
CHI3L1,1.285595292,4.181864471,1.622063453,4.98E-05,0.000950734,,,PLA2G2D2
PLA2G2D2,1.47647859,4.152542462,1.514950365,5.59E-05,0.001033029,,,AC068775.12
AC068775.12,1.817136066,4.124747381,1.413959683,6.23E-05,0.001121419,,,DNAJC5B1
DNAJC5B1,1.004180866,4.084057,1.26707644,7.29E-05,0.00125923,,,KLRK12
KLRK12,1.077889022,4.028349938,1.067851759,9.03E-05,0.001462747,,,C4orf501
C4orf501,1.226454587,3.967429587,0.852472904,0.000113838,0.00171451,,,HEATR91
HEATR91,1.190658919,3.962133712,0.833873514,0.00011614,0.00173375,,,RTP52
RTP52,1.139048728,3.934872232,0.738444551,0.000128706,0.001871998,,,AC010132.3
AC010132.3,1.167250164,3.929325075,0.719091383,0.000131417,0.001905747,,,HCAR21
HCAR21,1.366903831,3.927051623,0.711165992,0.000132544,0.001919234,,,AL645941.21
AL645941.21,1.798990308,3.892474922,0.591084312,0.000150855,0.00209129,,,AL049634.2
AL049634.2,1.474575,3.84885644,0.440824037,0.000177399,0.002352286,,,PTCRA2
PTCRA2,1.245562885,3.836553046,0.398688212,0.000185654,0.002434961,,,SIRPD1
SIRPD1,1.29461701,3.806212592,0.295248516,0.000207598,0.002625288,,,GBP61
GBP61,1.454750655,3.794413208,0.255201343,0.000216779,0.002714982,,,CASP5
CASP5,1.303420528,3.767439869,0.164034632,0.000239235,0.002903997,,,CXCL132
CXCL132,1.205579497,3.76030989,0.140024929,0.000245529,0.002963458,,,TIFAB1
TIFAB1,1.050319021,3.666867774,-0.171180522,0.000343956,0.003784447,,,KIR3DL12
KIR3DL12,1.342544583,3.664084329,-0.180351704,0.000347394,0.003805158,,,AMH1
AMH1,1.388850599,3.653847026,-0.214033104,0.000360323,0.003905136,,,AD000671.21
AD000671.21,1.311561204,3.633078137,-0.282124434,0.000387962,0.004120036,,,DCSTAMP1
DCSTAMP1,1.168314183,3.591474185,-0.417554686,0.000449456,0.004573033,,,APOBEC3A1
APOBEC3A1,1.013627601,3.583446368,-0.443537677,0.000462334,0.004660606,,,HCAR31
HCAR31,1.371359464,3.542451494,-0.57546569,0.0005337,0.005182731,,,TNS41
TNS41,1.597118211,3.525580345,-0.629390886,0.000565982,0.00541539,,,NEURL31
NEURL31,1.079536958,3.508659859,-0.683256964,0.000600197,0.005657027,,,CSF21
CSF21,1.482339357,3.50299399,-0.701245542,0.000612082,0.005745442,,,GSDMC
GSDMC,1.067781457,3.481230845,-0.770114098,0.000659822,0.006066449,,,FCGR3B
FCGR3B,1.148807478,3.402455084,-1.0163656,0.000863486,0.007264824,,,SLC6A142
SLC6A142,1.411717031,3.249174451,-1.481739976,0.001438697,0.01042388,,,TAS2R40
TAS2R40,1.260782275,3.215317525,-1.582048119,0.001606693,0.011317591,,,KRTAP12-3
KRTAP12-3,1.162683507,3.174724848,-1.701114892,0.001832118,0.012464662,,,AIPL11
AIPL11,1.220374153,3.172118485,-1.708715133,0.001847551,0.01255216,,,EDAR1
EDAR1,1.162898381,3.159005997,-1.746869429,0.001927042,0.012954836,,,ART32
ART32,1.068974713,3.077450301,-1.981087123,0.002497061,0.015581885,,,HIST1H2AJ
HIST1H2AJ,1.213154507,3.030212211,-2.114298675,0.002894833,0.017274523,,,IFNE2
IFNE2,1.561136459,2.97035323,-2.280498453,0.003482735,0.019777576,,,GPR311
GPR311,1.067923461,2.907559428,-2.451697658,0.004215879,0.022813901,,,AC022335.1
AC022335.1,1.206265698,2.894388728,-2.487194492,0.00438657,0.023490157,,,INSL6
INSL6,1.042977245,2.894085592,-2.488009802,0.004390572,0.023505094,,,C20orf1411
C20orf1411,1.408608662,2.853073803,-2.597613868,0.004963893,0.025666285,,,MIA-RAB4B2
MIA-RAB4B2,1.434625534,2.85114502,-2.602734248,0.00499247,0.025749505,,,CCL11
CCL11,1.55536652,2.818386517,-2.689227001,0.005501335,0.02749822,,,FAM163B1
FAM163B1,1.273202826,2.790128422,-2.763119379,0.005977817,0.02924336,,,AKAP141
AKAP141,1.205874821,2.783904846,-2.779303886,0.006087681,0.029573281,,,SAA4
SAA4,1.64153782,2.747752063,-2.87267846,0.006763023,0.032001805,,,MUC162
MUC162,1.3682831,2.681434709,-3.041104883,0.008181111,0.036627914,,,SAA2-SAA4
SAA2-SAA4,1.889837053,2.659714791,-3.095459465,0.008700956,0.038264355,,,IL17A
IL17A,1.334937862,2.642855902,-3.137373446,0.009124818,0.039536025,,,KIR2DL11
KIR2DL11,1.03860066,2.600727428,-3.241054994,0.010266557,0.043039716,,,NOS2
NOS2,1.117626701,2.536189733,-3.396946717,0.012265772,0.049100821,,,AC134669.11
AC134669.11,1.00550633,2.519149297,-3.437511648,0.012848759,0.050840246,,,AC026464.4
AC026464.4,1.016774104,2.506924284,-3.466459392,0.013282135,0.052017254,,,HIST1H2AL
HIST1H2AL,1.092261605,2.442491693,-3.616896633,0.015789109,0.059426844,,,CALB11
CALB11,1.172217324,2.4374678,-3.628475276,0.016001213,0.060035639,,,SAA2
SAA2,1.23154879,2.404740528,-3.703365291,0.017445929,0.063781061,,,CCL71
CCL71,1.084295429,2.394055689,-3.727613522,0.017942015,0.065055685,,,KIR3DL32
KIR3DL32,1.055455626,2.357986044,-3.808733973,0.019710129,0.069809374,,,CRYBA4
CRYBA4,1.204742866,2.348797117,-3.829217938,0.020184444,0.070987418,,,FGF4
FGF4,1.019092816,2.231849567,-4.083431696,0.027159155,0.087888182,,,LIPN
LIPN,1.024884949,2.227579547,-4.092485084,0.02744944,0.088544973,,,OR52N42
OR52N42,1.02425016,2.201974794,-4.146433539,0.029247467,0.092765895,,,SAA1
SAA1,1.143217478,2.182794553,-4.186464142,0.030660615,0.096012695,,,AL512785.2
AL512785.2,1.060780374,2.133795614,-4.287240264,0.03454258,0.104306407,,,IBSP
IBSP,1.168737248,2.023680962,-4.505865531,0.044840478,0.126846564,,,
